op,gpu,key,logs
adaln_fwd_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=17594334052911,rna-smoke-opendde-final.log;rna-smoke-opendde.log;rna-smoke-protenix-final.log;rna-smoke-protenix.log
adaln_fwd_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=281477124719151,4yx2-opendde-final.log;4yx2-opendde.log;4yx2-protenix-final.log;4yx2-protenix.log
adaln_fwd_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=35186520097327,opendde-compile.log;opendde-eager.log;opendde-full-compile.log;opendde-full-graph.log;opendde-graph-retry.log;opendde-graph.log;opendde-stable-compile.log;protenix-compile.log;protenix-diagnose.log;protenix-eager.log;protenix-full-compile.log;protenix-full-graph.log;protenix-graph.log;protenix-stable-compile.log;protenix-stable-graph.log;protenix-v2-full-compile.log;protenix-v2-full-graph.log
adaln_fwd_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=70370892186159,1a1k-opendde-final.log;1a1k-opendde.log;1a1k-protenix-final.log;1a1k-protenix.log;3ptb-opendde-final.log;3ptb-opendde.log;3ptb-protenix-final.log;3ptb-protenix.log
adaln_fwd_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=8798241030703,1a1k-af3-final.log;1a1k-af3.log;3ptb-af3-final.log;3ptb-af3.log;4yx2-af3-final.log;4yx2-af3.log;af3-compile.log;af3-eager.log;af3-full-compile.log;af3-full-graph.log;af3-graph-retry.log;af3-graph.log;af3-layers.log;af3-rna-compile.log;af3-rna-graph.log;af3-stable-compile.log;rna-smoke-af3-final.log
adaln_gemm_gate_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=35197260137007,4yx2-esmfold2-final.log;4yx2-esmfold2.log
adaln_gemm_gate_triton,NVIDIA RTX A6000 (sm86),bfloat16+float32|shape_key=8808981070383,1a1k-esmfold2-final.log;1a1k-esmfold2-retry.log;3ptb-esmfold2-final.log;3ptb-esmfold2-retry.log;esmfold2-compile.log;esmfold2-diagnose.log;esmfold2-eager.log;esmfold2-full-compile.log;esmfold2-full-graph.log;esmfold2-graph.log;esmfold2-stable-compile.log;esmfold2-stable-graph.log;rna-smoke-esmfold2-final.log;rna-smoke-esmfold2.log
cond_transition_squeeze_gate_triton,NVIDIA RTX A6000 (sm86),bfloat16|shape_key=35197263283905,4yx2-esmfold2-final.log;4yx2-esmfold2.log
cond_transition_squeeze_gate_triton,NVIDIA RTX A6000 (sm86),bfloat16|shape_key=8808984217281,1a1k-esmfold2-final.log;1a1k-esmfold2-retry.log;3ptb-esmfold2-final.log;3ptb-esmfold2-retry.log;esmfold2-compile.log;esmfold2-diagnose.log;esmfold2-eager.log;esmfold2-full-compile.log;esmfold2-full-graph.log;esmfold2-graph.log;esmfold2-stable-compile.log;esmfold2-stable-graph.log;rna-smoke-esmfold2-final.log;rna-smoke-esmfold2.log
layernorm_fwd_saveact_triton,NVIDIA RTX A6000 (sm86),"bfloat16+float32|HAS_ROWSCALE=0,shape_key=1099511694106",af3-rna-compile.log;af3-rna-graph.log;opendde-compile.log;opendde-eager.log;opendde-full-compile.log;opendde-full-graph.log;opendde-graph-retry.log;opendde-graph.log;opendde-stable-compile.log;protenix-compile.log;protenix-diagnose.log;protenix-eager.log;protenix-full-compile.log;protenix-full-graph.log;protenix-graph.log;protenix-stable-compile.log;protenix-stable-graph.log;protenix-v2-full-compile.log;protenix-v2-full-graph.log;rna-smoke-af3-final.log
